District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
South Hadley,02780000,  93.7,   6.6,  16.1,  14.6,   0.0
South Middlesex Regional Vocational Technical,08290000,  93.9,   6.5,  22.5,  19.9,   9.4
South Shore Charter Public (District),04880000,  95.0,   5.4,  14.9,   9.7,   9.7
South Shore Regional Vocational Technical,08730000,  96.1,   4.3,  10.9,   6.4,   0.0
Southampton,02750000,  95.9,   4.3,   7.8,   5.8,   0.0
Southborough,02760000,  96.2,   4.1,   8.1,   7.2,   1.1
Southbridge,02770000,  89.7,  10.7,  37.9,  36.1,  26.1
Southeastern Regional Vocational Technical,08720000,  96.3,   4.0,  10.5,   8.4,   2.1
Southern Berkshire,07650000,  94.2,   6.4,  20.8,  16.5,  11.6
Southern Worcester County Regional Vocational Technical,08760000,  95.6,   4.7,  12.0,   9.2,   4.2
Southwick-Tolland-Granville Regional School District,07660000,  94.6,   5.8,  17.0,  13.7,   7.9
Spencer-E Brookfield,07670000,  93.8,   6.6,  19.9,  16.1,   0.4
Springfield,02810000,  93.0,   7.4,  25.5,  20.8,  13.3
Springfield Preparatory Charter School (District),35100000,  95.9,   4.8,   9.5,   5.8,   3.4
Stoneham,02840000,  95.1,   5.3,  14.8,  10.5,   0.0
Stoughton,02850000,  95.2,   5.1,  13.6,  12.0,   6.2
